locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILPPLFEM_02743	CDS	1371				hypothetical protein
ILPPLFEM_02744	CDS	624	bepA_6	3.4.-.-		Beta-barrel assembly-enhancing protease
ILPPLFEM_02745	CDS	1776	ilvB_3	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
ILPPLFEM_02746	CDS	1329				hypothetical protein
ILPPLFEM_02747	CDS	636	adk_2	2.7.4.3		Adenylate kinase
ILPPLFEM_02748	CDS	411	gph_6	3.1.3.18		Phosphoglycolate phosphatase
ILPPLFEM_02749	CDS	1092	prfB_1			Peptide chain release factor 2
ILPPLFEM_02750	CDS	1659				hypothetical protein
ILPPLFEM_02751	CDS	876	ftsY_2		COG0552	Signal recognition particle receptor FtsY
ILPPLFEM_02752	CDS	867				hypothetical protein
ILPPLFEM_02753	CDS	1293				hypothetical protein
ILPPLFEM_02754	CDS	693	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
ILPPLFEM_02755	CDS	1344	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
ILPPLFEM_02756	CDS	537	mcsA		COG3880	Protein-arginine kinase activator protein
ILPPLFEM_02757	CDS	1113	mcsB	2.7.14.1		Protein-arginine kinase
ILPPLFEM_02758	CDS	2568	clpC_1		COG0542	Negative regulator of genetic competence ClpC/MecB
ILPPLFEM_02759	CDS	1278	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
ILPPLFEM_02760	CDS	855				hypothetical protein
ILPPLFEM_02761	CDS	936				hypothetical protein
ILPPLFEM_02762	CDS	408				hypothetical protein
ILPPLFEM_02763	CDS	1122				hypothetical protein
ILPPLFEM_02764	CDS	1071	mraY_2	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
ILPPLFEM_02765	CDS	429				hypothetical protein
ILPPLFEM_02766	CDS	645				hypothetical protein
ILPPLFEM_02767	CDS	198				hypothetical protein
ILPPLFEM_02768	CDS	366				hypothetical protein
ILPPLFEM_02769	CDS	933	cysK1_1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
ILPPLFEM_02770	CDS	1398	yeeO_5		COG0534	putative FMN/FAD exporter YeeO
ILPPLFEM_02771	CDS	696	queE_2	4.3.99.3		7-carboxy-7-deazaguanine synthase
ILPPLFEM_02772	CDS	519	tadA_2	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
ILPPLFEM_02773	CDS	903				hypothetical protein
ILPPLFEM_02774	CDS	1056				hypothetical protein
ILPPLFEM_02775	CDS	645				hypothetical protein
ILPPLFEM_02776	CDS	1089				hypothetical protein
ILPPLFEM_02777	CDS	1113	msmX_2	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
ILPPLFEM_02778	CDS	1491				hypothetical protein
ILPPLFEM_02779	CDS	735				hypothetical protein
ILPPLFEM_02780	CDS	483				hypothetical protein
ILPPLFEM_02781	CDS	936		3.1.1.23	COG2267	Monoacylglycerol lipase
ILPPLFEM_02782	CDS	1065	metG_2	6.1.1.10		Methionine--tRNA ligase
ILPPLFEM_02783	CDS	1323	celA_1	3.2.1.4		Endoglucanase A
ILPPLFEM_02784	CDS	1548				hypothetical protein
ILPPLFEM_02785	CDS	2634				hypothetical protein
ILPPLFEM_02786	CDS	2040				hypothetical protein
ILPPLFEM_02787	CDS	1716				hypothetical protein
ILPPLFEM_02788	CDS	3162				TonB-dependent receptor P3
ILPPLFEM_02789	CDS	954				hypothetical protein
ILPPLFEM_02790	CDS	753	kdsA_1	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
ILPPLFEM_02791	CDS	951	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
ILPPLFEM_02792	CDS	1266	cls_1	2.7.8.-		Cardiolipin synthase
ILPPLFEM_02793	CDS	633				hypothetical protein
ILPPLFEM_02794	CDS	564				hypothetical protein
ILPPLFEM_02795	CDS	594				hypothetical protein
ILPPLFEM_02796	CDS	2019				hypothetical protein
ILPPLFEM_02797	CDS	3645				hypothetical protein
ILPPLFEM_02798	CDS	1320	thrC_2	4.2.3.1	COG0498	Threonine synthase
ILPPLFEM_02799	CDS	219				hypothetical protein
ILPPLFEM_02800	CDS	648	hisH_1	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
ILPPLFEM_02801	CDS	768	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
ILPPLFEM_02802	CDS	1800	pyk_1	2.7.1.40		Pyruvate kinase
ILPPLFEM_02803	CDS	387	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
ILPPLFEM_02804	CDS	537				hypothetical protein
ILPPLFEM_02805	CDS	684				hypothetical protein
ILPPLFEM_02806	CDS	462				hypothetical protein
ILPPLFEM_02807	CDS	456				hypothetical protein
ILPPLFEM_02808	CDS	945	argC_1	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
ILPPLFEM_02809	CDS	393				hypothetical protein
ILPPLFEM_02810	CDS	1287				hypothetical protein
ILPPLFEM_02811	CDS	1098				hypothetical protein
ILPPLFEM_02812	CDS	588	puuR			HTH-type transcriptional regulator PuuR
ILPPLFEM_02813	CDS	1326	btuD_6	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
ILPPLFEM_02814	CDS	1206	icd_2	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
ILPPLFEM_02815	CDS	732	rspR		COG1802	HTH-type transcriptional repressor RspR
ILPPLFEM_02816	CDS	1413		2.3.3.3	COG0119	Citrate (Re)-synthase
ILPPLFEM_02817	CDS	915	aprX	3.4.21.-	COG1404	Serine protease AprX
ILPPLFEM_02818	CDS	1554				hypothetical protein
ILPPLFEM_02819	CDS	4611				hypothetical protein
ILPPLFEM_02820	CDS	1158				hypothetical protein
ILPPLFEM_02821	CDS	438				hypothetical protein
ILPPLFEM_02822	CDS	276				hypothetical protein
ILPPLFEM_02823	CDS	2415	leuS_2	6.1.1.4		Leucine--tRNA ligase
ILPPLFEM_02824	CDS	1974	fusA_2		COG0480	Elongation factor G
ILPPLFEM_02825	CDS	579	aplIM_2	2.1.1.37	COG0270	Modification methylase AplI
ILPPLFEM_02826	CDS	1320				hypothetical protein
ILPPLFEM_02827	CDS	246				hypothetical protein
ILPPLFEM_02828	CDS	138				hypothetical protein
ILPPLFEM_02829	CDS	990	mobA_2			Mobilization protein A
ILPPLFEM_02830	CDS	237				hypothetical protein
ILPPLFEM_02831	CDS	2499	der_3			GTPase Der
ILPPLFEM_02832	CDS	222				hypothetical protein
ILPPLFEM_02833	CDS	213				hypothetical protein
ILPPLFEM_02834	CDS	381	mntR_2		COG1321	Transcriptional regulator MntR
ILPPLFEM_02835	CDS	705				hypothetical protein
ILPPLFEM_02836	CDS	1014	metN_2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
ILPPLFEM_02837	CDS	858				hypothetical protein
ILPPLFEM_02838	CDS	918				hypothetical protein
ILPPLFEM_02839	CDS	1089	mnmA_2	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
ILPPLFEM_02840	tRNA	90				tRNA-Ser(cga)
ILPPLFEM_02841	CDS	1074	pfp_3	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
ILPPLFEM_02842	CDS	1575				hypothetical protein
ILPPLFEM_02843	CDS	348			COG0718	Nucleoid-associated protein
ILPPLFEM_02844	CDS	597	recR_3		COG0353	Recombination protein RecR
ILPPLFEM_02845	CDS	1056	mro_1	5.1.3.3	COG2017	Aldose 1-epimerase
ILPPLFEM_02846	CDS	402				hypothetical protein
ILPPLFEM_02847	CDS	2055	topA_2	5.6.2.1		DNA topoisomerase 1
ILPPLFEM_02848	CDS	1689				hypothetical protein
ILPPLFEM_02849	CDS	948				hypothetical protein
ILPPLFEM_02850	CDS	267				hypothetical protein
ILPPLFEM_02851	CDS	5460				hypothetical protein
ILPPLFEM_02852	CDS	2550				hypothetical protein
ILPPLFEM_02853	CDS	1995				hypothetical protein
ILPPLFEM_02854	CDS	507				hypothetical protein
ILPPLFEM_02855	CDS	687				hypothetical protein
ILPPLFEM_02856	CDS	1824				hypothetical protein
ILPPLFEM_02857	CDS	1875	spoVD_1		COG0768	Stage V sporulation protein D
ILPPLFEM_02858	CDS	522	spsB	3.4.21.89		Signal peptidase IB
ILPPLFEM_02859	CDS	1209				hypothetical protein
ILPPLFEM_02860	CDS	2223				hypothetical protein
ILPPLFEM_02861	CDS	669				hypothetical protein
ILPPLFEM_02862	CDS	567		3.-.-.-		putative protein
ILPPLFEM_02863	CDS	1752				hypothetical protein
ILPPLFEM_02864	CDS	447				hypothetical protein
ILPPLFEM_02865	CDS	492	ilvH_2	2.2.1.6	COG0440	Acetolactate synthase small subunit
ILPPLFEM_02866	CDS	1941	kdsA_2	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
ILPPLFEM_02867	CDS	2493	thrA_1		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
ILPPLFEM_02868	CDS	240				hypothetical protein
ILPPLFEM_02869	CDS	171				hypothetical protein
ILPPLFEM_02870	CDS	162				hypothetical protein
ILPPLFEM_02871	CDS	978	purR_5			HTH-type transcriptional repressor PurR
ILPPLFEM_02872	CDS	192				hypothetical protein
ILPPLFEM_02873	CDS	915	metAA	2.3.1.31		Homoserine O-acetyltransferase
ILPPLFEM_02874	CDS	957	lipR	3.1.1.-	COG0657	Putative acetyl-hydrolase LipR
ILPPLFEM_02875	CDS	1467				hypothetical protein
ILPPLFEM_02876	CDS	1911	relA_2	2.7.6.5	COG0317	GTP pyrophosphokinase
ILPPLFEM_02877	CDS	579	xpt_1	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
ILPPLFEM_02878	CDS	1458	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
ILPPLFEM_02879	CDS	831	pdxK_1	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
ILPPLFEM_02880	CDS	1323				hypothetical protein
ILPPLFEM_02881	CDS	1131	ychF_1		COG0012	Ribosome-binding ATPase YchF
ILPPLFEM_02882	CDS	927	era		COG1159	GTPase Era
ILPPLFEM_02883	CDS	1683	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
ILPPLFEM_02884	CDS	342				hypothetical protein
ILPPLFEM_02885	CDS	921				hypothetical protein
ILPPLFEM_02886	CDS	495				hypothetical protein
ILPPLFEM_02887	CDS	564	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
ILPPLFEM_02888	CDS	1041	cpoB_5			Cell division coordinator CpoB
ILPPLFEM_02889	CDS	2757				hypothetical protein
ILPPLFEM_02890	CDS	381				hypothetical protein
ILPPLFEM_02891	CDS	414				hypothetical protein
ILPPLFEM_02892	CDS	270				hypothetical protein
ILPPLFEM_02893	CDS	501				hypothetical protein
ILPPLFEM_02894	CDS	345				hypothetical protein
ILPPLFEM_02895	CDS	945				hypothetical protein
ILPPLFEM_02896	CDS	429				hypothetical protein
ILPPLFEM_02897	CDS	11361				hypothetical protein
ILPPLFEM_02898	CDS	636				hypothetical protein
ILPPLFEM_02899	CDS	1470	xylB_4	2.7.1.17	COG1070	Xylulose kinase
ILPPLFEM_02900	CDS	1311	aroA_1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
ILPPLFEM_02901	CDS	936	arcC1	2.7.2.2		Carbamate kinase 1
ILPPLFEM_02902	CDS	348				hypothetical protein
ILPPLFEM_02903	CDS	339				hypothetical protein
ILPPLFEM_02904	CDS	1470				hypothetical protein
ILPPLFEM_02905	CDS	2352	arnT	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
ILPPLFEM_02906	CDS	1563				hypothetical protein
ILPPLFEM_02907	CDS	906				hypothetical protein
ILPPLFEM_02908	CDS	471				hypothetical protein
ILPPLFEM_02909	CDS	1437	gltB_3	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
ILPPLFEM_02910	CDS	3009	gltA_1	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
ILPPLFEM_02911	CDS	783				hypothetical protein
ILPPLFEM_02912	CDS	705				hypothetical protein
ILPPLFEM_02913	CDS	684	yidC_5		COG0706	Membrane protein insertase YidC
ILPPLFEM_02914	CDS	1104	yidC_6			Membrane protein insertase YidC
ILPPLFEM_02915	CDS	363	rnpA_2	3.1.26.5		Ribonuclease P protein component
ILPPLFEM_02916	CDS	156	rpmH_3		COG0230	50S ribosomal protein L34
ILPPLFEM_02917	CDS	543				hypothetical protein
ILPPLFEM_02918	CDS	1104	recF_3		COG1195	DNA replication and repair protein RecF
ILPPLFEM_02919	CDS	1104	dnaN_3		COG0592	Beta sliding clamp
ILPPLFEM_02920	CDS	1416	dnaA_4		COG0593	Chromosomal replication initiator protein DnaA
ILPPLFEM_02921	CDS	1965	gyrB_3	5.6.2.2	COG0187	DNA gyrase subunit B
ILPPLFEM_02922	CDS	2517	gyrA_4	5.6.2.2	COG0188	DNA gyrase subunit A
ILPPLFEM_02923	CDS	1302	carA_2	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
ILPPLFEM_02924	CDS	333				hypothetical protein
ILPPLFEM_02925	CDS	192				hypothetical protein
ILPPLFEM_02926	CDS	234				hypothetical protein
ILPPLFEM_02927	CDS	672				hypothetical protein
ILPPLFEM_02928	CDS	486				hypothetical protein
ILPPLFEM_02929	CDS	999				hypothetical protein
ILPPLFEM_02930	CDS	408				hypothetical protein
ILPPLFEM_02931	CDS	543				hypothetical protein
ILPPLFEM_02932	CDS	357				hypothetical protein
ILPPLFEM_02933	CDS	198				hypothetical protein
ILPPLFEM_02934	CDS	507				hypothetical protein
ILPPLFEM_02935	CDS	1671				hypothetical protein
ILPPLFEM_02936	CDS	216				hypothetical protein
ILPPLFEM_02937	CDS	90				hypothetical protein
ILPPLFEM_02938	CDS	174				hypothetical protein
ILPPLFEM_02939	CDS	390				hypothetical protein
ILPPLFEM_02940	CDS	369				hypothetical protein
ILPPLFEM_02941	CDS	429				hypothetical protein
ILPPLFEM_02942	CDS	411				hypothetical protein
ILPPLFEM_02943	CDS	312				hypothetical protein
ILPPLFEM_02944	CDS	1254				hypothetical protein
ILPPLFEM_02945	CDS	219				hypothetical protein
ILPPLFEM_02946	CDS	90				hypothetical protein
ILPPLFEM_02947	CDS	102				hypothetical protein
ILPPLFEM_02948	CDS	336				hypothetical protein
ILPPLFEM_02949	CDS	231				hypothetical protein
ILPPLFEM_02950	CDS	387				hypothetical protein
ILPPLFEM_02951	CDS	177				hypothetical protein
ILPPLFEM_02952	CDS	108				hypothetical protein
ILPPLFEM_02953	CDS	204				hypothetical protein
ILPPLFEM_02954	CDS	162				hypothetical protein
ILPPLFEM_02955	CDS	195				hypothetical protein
ILPPLFEM_02956	CDS	657				hypothetical protein
ILPPLFEM_02957	CDS	1185				hypothetical protein
ILPPLFEM_02958	CDS	915				hypothetical protein
ILPPLFEM_02959	CDS	1296				hypothetical protein
ILPPLFEM_02960	CDS	342				hypothetical protein
ILPPLFEM_02961	CDS	1839	glmS_3	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
ILPPLFEM_02962	CDS	1020	lnpD_1	5.1.3.2		UDP-glucose 4-epimerase
ILPPLFEM_02963	CDS	210				hypothetical protein
ILPPLFEM_02964	CDS	864				hypothetical protein
ILPPLFEM_02965	CDS	510				hypothetical protein
ILPPLFEM_02966	CDS	1134				hypothetical protein
ILPPLFEM_02967	CDS	903				hypothetical protein
ILPPLFEM_02968	CDS	1137				hypothetical protein
ILPPLFEM_02969	CDS	960	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
ILPPLFEM_02970	CDS	1341				hypothetical protein
ILPPLFEM_02971	CDS	1227	ddl_3	6.3.2.4		D-alanine--D-alanine ligase
ILPPLFEM_02972	CDS	1455				hypothetical protein
ILPPLFEM_02973	CDS	1275				hypothetical protein
ILPPLFEM_02974	CDS	636	pglC_2	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
ILPPLFEM_02975	CDS	894				hypothetical protein
ILPPLFEM_02976	CDS	120				hypothetical protein
ILPPLFEM_02977	CDS	297				hypothetical protein
ILPPLFEM_02978	tRNA	76				tRNA-Arg(tct)
ILPPLFEM_02979	CDS	1560				hypothetical protein
ILPPLFEM_02980	CDS	195				hypothetical protein
ILPPLFEM_02981	CDS	189				hypothetical protein
ILPPLFEM_02982	CDS	723	glnQ_4			Glutamine transport ATP-binding protein GlnQ
ILPPLFEM_02983	CDS	669	artQ_1		COG0765	Arginine transport system permease protein ArtQ
ILPPLFEM_02984	CDS	774	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
ILPPLFEM_02985	CDS	1350	miaB_1	2.8.4.3		tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
ILPPLFEM_02986	CDS	360				hypothetical protein
ILPPLFEM_02987	CDS	786	folE2	3.5.4.16	COG1469	GTP cyclohydrolase FolE2
ILPPLFEM_02988	CDS	885	folD_1		COG0190	Bifunctional protein FolD protein
ILPPLFEM_02989	CDS	684				hypothetical protein
ILPPLFEM_02990	CDS	1200				hypothetical protein
ILPPLFEM_02991	CDS	2418	ruvB_3	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
ILPPLFEM_02992	CDS	735	yfiC_1	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
ILPPLFEM_02993	CDS	930				hypothetical protein
ILPPLFEM_02994	CDS	1068	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
ILPPLFEM_02995	CDS	1395	tilS_2	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
ILPPLFEM_02996	CDS	2385	spoIIE	3.1.3.16	COG2208	Stage II sporulation protein E
ILPPLFEM_02997	tRNA	87				tRNA-Leu(taa)
ILPPLFEM_02998	tRNA	77				tRNA-Met(cat)
ILPPLFEM_02999	tRNA	76				tRNA-Met(cat)
ILPPLFEM_03000	tRNA	87				tRNA-Leu(taa)
ILPPLFEM_03001	CDS	405	pnp_3	2.7.7.8		Polyribonucleotide nucleotidyltransferase
ILPPLFEM_03002	CDS	276	ftsB			Cell division protein FtsB
ILPPLFEM_03003	CDS	390				hypothetical protein
ILPPLFEM_03004	CDS	297	yabP			Spore protein YabP
ILPPLFEM_03005	CDS	261				hypothetical protein
ILPPLFEM_03006	CDS	276	hup_2			DNA-binding protein HU
ILPPLFEM_03007	CDS	1449				hypothetical protein
ILPPLFEM_03008	CDS	1536	spoVB		COG2244	Stage V sporulation protein B
ILPPLFEM_03009	CDS	549	spoVT		COG2002	Stage V sporulation protein T
ILPPLFEM_03010	CDS	1053	prsA	5.2.1.8		Foldase protein PrsA
ILPPLFEM_03011	CDS	3507	mfd_2	3.6.4.-		Transcription-repair-coupling factor
ILPPLFEM_03012	CDS	576	pth_3	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
ILPPLFEM_03013	CDS	891	degP_2	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
ILPPLFEM_03014	CDS	822				hypothetical protein
ILPPLFEM_03015	CDS	387				hypothetical protein
ILPPLFEM_03016	CDS	462				hypothetical protein
ILPPLFEM_03017	CDS	423				hypothetical protein
ILPPLFEM_03018	CDS	696	yeiL		COG0664	Regulatory protein YeiL
ILPPLFEM_03019	CDS	1095	ribD_1		COG0117	Riboflavin biosynthesis protein RibD
ILPPLFEM_03020	CDS	651	ribE_1	2.5.1.9	COG0307	Riboflavin synthase
ILPPLFEM_03021	CDS	1227	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
ILPPLFEM_03022	CDS	471	ribH_1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
ILPPLFEM_03023	CDS	2061				hypothetical protein
ILPPLFEM_03024	CDS	2712				hypothetical protein
ILPPLFEM_03025	CDS	717				hypothetical protein
ILPPLFEM_03026	CDS	1926				hypothetical protein
ILPPLFEM_03027	CDS	1302				hypothetical protein
ILPPLFEM_03028	CDS	336				hypothetical protein
ILPPLFEM_03029	CDS	402				hypothetical protein
ILPPLFEM_03030	CDS	516	truB_2	5.4.99.25	COG0130	tRNA pseudouridine synthase B
ILPPLFEM_03031	CDS	927	ribF_2			Bifunctional riboflavin kinase/FMN adenylyltransferase
ILPPLFEM_03032	CDS	351				hypothetical protein
ILPPLFEM_03033	CDS	1059				hypothetical protein
ILPPLFEM_03034	CDS	351				hypothetical protein
ILPPLFEM_03035	CDS	285				hypothetical protein
ILPPLFEM_03036	CDS	1617				hypothetical protein
ILPPLFEM_03037	CDS	1308				hypothetical protein
ILPPLFEM_03038	CDS	834				hypothetical protein
ILPPLFEM_03039	CDS	1065	yqeN		COG1466	putative protein YqeN
ILPPLFEM_03040	CDS	654	cusR		COG0745	Transcriptional regulatory protein CusR
ILPPLFEM_03041	CDS	1425	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
ILPPLFEM_03042	CDS	882				hypothetical protein
ILPPLFEM_03043	CDS	372				hypothetical protein
ILPPLFEM_03044	CDS	462				hypothetical protein
ILPPLFEM_03045	CDS	1005				hypothetical protein
ILPPLFEM_03046	CDS	1779	sfsA			Sugar fermentation stimulation protein A
ILPPLFEM_03047	CDS	1029				hypothetical protein
ILPPLFEM_03048	CDS	1929				TonB-dependent receptor P3
ILPPLFEM_03049	CDS	2292				hypothetical protein
ILPPLFEM_03050	CDS	2871				hypothetical protein
ILPPLFEM_03051	CDS	1827				hypothetical protein
ILPPLFEM_03052	CDS	2127				hypothetical protein
ILPPLFEM_03053	CDS	4599				hypothetical protein
ILPPLFEM_03054	CDS	672				hypothetical protein
ILPPLFEM_03055	CDS	804	rbn_4	3.1.26.11		Ribonuclease BN
ILPPLFEM_03056	CDS	747				hypothetical protein
ILPPLFEM_03057	CDS	1374	murJ_3			lipid II flippase MurJ
ILPPLFEM_03058	CDS	789	ydjP	3.-.-.-	COG0596	AB hydrolase superfamily protein YdjP
ILPPLFEM_03059	CDS	474				hypothetical protein
ILPPLFEM_03060	CDS	591				hypothetical protein
ILPPLFEM_03061	CDS	912				hypothetical protein
ILPPLFEM_03062	CDS	1266	codA	3.5.4.1	COG0402	Cytosine deaminase
ILPPLFEM_03063	CDS	1248	codB		COG1457	Cytosine permease
ILPPLFEM_03064	CDS	216				hypothetical protein
ILPPLFEM_03065	CDS	303				hypothetical protein
ILPPLFEM_03066	CDS	633				hypothetical protein
ILPPLFEM_03067	CDS	453	def_2	3.5.1.88		Peptide deformylase
ILPPLFEM_03068	CDS	771	nirC		COG2116	Nitrite transporter NirC
ILPPLFEM_03069	CDS	453				hypothetical protein
ILPPLFEM_03070	CDS	123				hypothetical protein
ILPPLFEM_03071	CDS	126				hypothetical protein
ILPPLFEM_03072	CDS	1557	ybiT_3		COG0488	putative ABC transporter ATP-binding protein YbiT
ILPPLFEM_03073	CDS	441				hypothetical protein
ILPPLFEM_03074	CDS	288	hdhA	1.1.1.159		7-alpha-hydroxysteroid dehydrogenase
ILPPLFEM_03075	CDS	414	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
ILPPLFEM_03076	CDS	165				hypothetical protein
ILPPLFEM_03077	CDS	1617	mhpE_3	4.1.3.39		4-hydroxy-2-oxovalerate aldolase
ILPPLFEM_03078	CDS	795				hypothetical protein
ILPPLFEM_03079	CDS	1347	spnQ	4.2.1.164		dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase
ILPPLFEM_03080	CDS	774	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
ILPPLFEM_03081	CDS	1002				hypothetical protein
ILPPLFEM_03082	CDS	2010	fcl_2	1.1.1.271		GDP-L-fucose synthase
ILPPLFEM_03083	CDS	969				hypothetical protein
ILPPLFEM_03084	CDS	1452	murJ_4			lipid II flippase MurJ
ILPPLFEM_03085	CDS	1386				hypothetical protein
ILPPLFEM_03086	CDS	261				hypothetical protein
ILPPLFEM_03087	CDS	681				hypothetical protein
ILPPLFEM_03088	CDS	1308				hypothetical protein
ILPPLFEM_03089	CDS	609	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
ILPPLFEM_03090	CDS	183				hypothetical protein
ILPPLFEM_03091	CDS	165				hypothetical protein
ILPPLFEM_03092	CDS	2406	btuB_1			Vitamin B12 transporter BtuB
ILPPLFEM_03093	CDS	1443	alsT_2		COG1115	Amino-acid carrier protein AlsT
ILPPLFEM_03094	CDS	1422		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
ILPPLFEM_03095	CDS	3153	lacZ_3	3.2.1.23		Beta-galactosidase
ILPPLFEM_03096	CDS	2343				hypothetical protein
ILPPLFEM_03097	CDS	1992	nagB_1	3.5.99.6		Glucosamine-6-phosphate deaminase
ILPPLFEM_03098	CDS	966	glcK_1	2.7.1.2	COG1940	Glucokinase
ILPPLFEM_03099	CDS	1221	nagC		COG1940	N-acetylglucosamine repressor
ILPPLFEM_03100	CDS	1443	trkH_1		COG0168	Trk system potassium uptake protein TrkH
ILPPLFEM_03101	CDS	1452	trkA_1		COG0569	Trk system potassium uptake protein TrkA
ILPPLFEM_03102	CDS	834	uppP_1	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
ILPPLFEM_03103	CDS	1353	purD_1	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
ILPPLFEM_03104	CDS	579				hypothetical protein
ILPPLFEM_03105	CDS	732	pyrH_1			Uridylate kinase
ILPPLFEM_03106	CDS	1710				hypothetical protein
ILPPLFEM_03107	CDS	717				hypothetical protein
ILPPLFEM_03108	CDS	555	sigM		COG1595	ECF RNA polymerase sigma factor SigM
ILPPLFEM_03109	CDS	1533	cysS_1	6.1.1.16	COG0215	Cysteine--tRNA ligase
ILPPLFEM_03110	CDS	960	murB_2	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
ILPPLFEM_03111	CDS	1200				hypothetical protein
ILPPLFEM_03112	CDS	546				hypothetical protein
ILPPLFEM_03113	CDS	453				hypothetical protein
ILPPLFEM_03114	CDS	1155	cpoB_6			Cell division coordinator CpoB
ILPPLFEM_03115	CDS	903				Cyclic di-GMP binding protein
ILPPLFEM_03116	CDS	948				hypothetical protein
ILPPLFEM_03117	CDS	1002				hypothetical protein
ILPPLFEM_03118	CDS	1140				hypothetical protein
ILPPLFEM_03119	CDS	1509				hypothetical protein
ILPPLFEM_03120	CDS	993	ykoT_1	2.4.-.-		putative glycosyltransferase YkoT
ILPPLFEM_03121	CDS	1239				hypothetical protein
ILPPLFEM_03122	CDS	1065	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
ILPPLFEM_03123	CDS	918				hypothetical protein
ILPPLFEM_03124	CDS	1275	btuD_7	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
ILPPLFEM_03125	CDS	843				hypothetical protein
ILPPLFEM_03126	CDS	1053				hypothetical protein
ILPPLFEM_03127	CDS	1044	queE_3	4.3.99.3		7-carboxy-7-deazaguanine synthase
ILPPLFEM_03128	CDS	1074	epsI	2.-.-.-	COG5039	Putative pyruvyl transferase EpsI
ILPPLFEM_03129	CDS	945	fcf1	1.1.1.266		dTDP-4-dehydro-6-deoxyglucose reductase
ILPPLFEM_03130	CDS	999	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
ILPPLFEM_03131	CDS	855				hypothetical protein
ILPPLFEM_03132	CDS	621				hypothetical protein
ILPPLFEM_03133	CDS	816				hypothetical protein
